"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"169",11,"Wan'Dale Robinson",NYG,"WR71","11","3 out of 5 stars","+6"
"170",11,"Roschon Johnson",CHI,"RB54","7","2 out of 5 stars","+6"
"171",11,"Jermaine Burton",CIN,"WR72","12","2 out of 5 stars","+9"
"172",11,"Marvin Mims Jr.",DEN,"WR73","14","2 out of 5 stars","+15"
"173",11,"Quentin Johnston",LAC,"WR74","5","3 out of 5 stars","-13"
"174",11,"Daniel Jones",NYG,"QB26","11","2 out of 5 stars","+3"
"175",11,"Tyler Conklin",NYJ,"TE21","12","3 out of 5 stars","-8"
"176",11,"Darnell Mooney",ATL,"WR75","12","4 out of 5 stars","-14"
"177",11,"Rashod Bateman",BAL,"WR76","14","3 out of 5 stars","+14"
"178",11,"Chigoziem Okonkwo",TEN,"TE22","5","4 out of 5 stars","0"
"179",11,"Bucky Irving",TB,"RB55","11","5 out of 5 stars","-7"
"180",11,"Bryce Young",CAR,"QB27","11","5 out of 5 stars","-7"
"181",11,"Elijah Mitchell",SF,"RB56","9","2 out of 5 stars","+1"
"182",11,"Juwan Johnson",NO,"TE23","12","4 out of 5 stars","+18"
"183",11,"Ray Davis",BUF,"RB57","12","2 out of 5 stars","-18"
"184",11,"Ricky Pearsall",SF,"WR77","9","2 out of 5 stars","-5"
"185",11,"Roman Wilson",PIT,"WR78","9","1 out of 5 stars","+5"
"186",11,"Russell Wilson",PIT,"QB28","9","2 out of 5 stars","+2"
"187",12,"Noah Fant",SEA,"TE24","10","3 out of 5 stars","-2"
"188",12,"Ben Sinnott",WAS,"TE25","14","2 out of 5 stars","+13"
"189",12,"Braelon Allen",NYJ,"RB58","12","2 out of 5 stars","-5"
"190",12,"Kimani Vidal",LAC,"RB59","5","4 out of 5 stars","-43"
"191",12,"Bo Nix",DEN,"QB29","14","2 out of 5 stars","+3"
"192",12,"Javon Baker",NE,"WR79","14","3 out of 5 stars","+41"
"193",12,"Troy Franklin",DEN,"WR80","14","2 out of 5 stars","-19"
"194",12,"Elijah Moore",CLE,"WR81","10","3 out of 5 stars","+34"
"195",12,"Jonnu Smith",MIA,"TE26","6","2 out of 5 stars","-9"
"196",12,"Clyde Edwards-Helaire",KC,"RB60","6","3 out of 5 stars","+6"
"197",12,"Dameon Pierce",HOU,"RB61","14","3 out of 5 stars","-1"
"198",12,"Zay Jones",ARI,"WR82","11","3 out of 5 stars","+31"
"199",12,"D'Onta Foreman",CLE,"RB62","10","4 out of 5 stars","-4"
"200",12,"Isaiah Likely",BAL,"TE27","14","3 out of 5 stars","-17"
"201",12,"Drake Maye",NE,"QB30","14","3 out of 5 stars","-4"
"202",12,"Tyrone Tracy Jr.",NYG,"RB63","11","3 out of 5 stars","-21"
"203",12,"Alexander Mattison",LV,"RB64","10","3 out of 5 stars","+5"
"204",12,"Keaton Mitchell",BAL,"RB65","14","3 out of 5 stars","+5"
"205",12,"Jalen McMillan",TB,"WR83","11","3 out of 5 stars","+25"
"206",12,"Kenneth Gainwell",PHI,"RB66","5","4 out of 5 stars","+18"
"207",12,"Jalin Hyatt",NYG,"WR84","11","3 out of 5 stars","+6"
"208",12,"Tucker Kraft",GB,"TE28","10","3 out of 5 stars","+29"
"209",12,"Audric Estime",DEN,"RB67","14","4 out of 5 stars","-11"
"210",12,"Baltimore Ravens",BAL,"DST1","14","2 out of 5 stars","+26"
"211",12,"J.J. McCarthy",MIN,"QB31","6","5 out of 5 stars","-18"
"212",12,"AJ Dillon",GB,"RB68","10","1 out of 5 stars","+23"
