Alec Pierce,22.3
Christian Watson,21.4
Austin Trammell,20
Keon Coleman,19.2
Rashid Shaheed,17.5
Jameson Williams,17.3
Rashod Bateman,16.8
A.J. Brown,16.1
Calvin Ridley,15.9
Jayden Reed,15.6
Nick Westbrook-Ikhine,15.5
Darnell Mooney,15.5
George Pickens,15.3
Calvin Austin III,15.2
D.K. Metcalf,15
Joshua Palmer,15
Brandon Aiyuk,15
Jalen Coker,14.9
Justin Jefferson,14.9
Nico Collins,14.8
Brian Thomas Jr.,14.7
Darius Slayton,14.7
Allen Lazard,14.3
Zay Flowers,14.3
Marvin Harrison Jr.,14.3
George Kittle,14.2
Tucker Kraft,14.1
Christian Kirk,14
Ladd McConkey,14
Jordan Addison,13.9
Kayshon Boutte,13.7
Jerry Jeudy,13.7
Rome Odunze,13.6
Mike Evans,13.6
Ja'Marr Chase,13.4
Tutu Atwell,13.4
Terry McLaurin,13.4
Courtland Sutton,13.3
Andrei Iosivas,13.3
Deebo Samuel,13.1
Tank Dell,13.1
Romeo Doubs,13.1
Noah Brown,12.9
Quentin Johnston,12.9
Foster Moreau,12.9
Ricky Pearsall,12.9
Marvin Mims Jr.,12.9
Jaylen Waddle,12.8
Adam Thielen,12.8
Kyle Pitts,12.8
Drake London,12.7
Jauan Jennings,12.7
Puka Nacua,12.5
Davante Adams,12.5
Chris Olave,12.5
Tee Higgins,12.5
Jalen McMillan,12.5
Jalen Tolbert,12.4
Amari Cooper,12.4
DeVonta Smith,12.3
Tyler Lockett,12.2
Mark Andrews,12.2
Parker Washington,12.2
Sam LaPorta,12.1
Rashee Rice,12
Gabe Davis,11.9
Tim Patrick,11.9
Tyreek Hill,11.8
CeeDee Lamb,11.8
Dallas Goedert,11.8
Jakobi Meyers,11.8
Michael Pittman Jr.,11.7
Cedric Tillman,11.7
Michael Wilson,11.7
Devaughn Vele,11.6
Chris Godwin,11.5
Tre Tucker,11.5
Theo Johnson,11.4
Diontae Johnson,11.4
Isaiah Likely,11.4
Jaxon Smith-Njigba,11.3
Olamide Zaccheaus,11.2
Josh Downs,11.2
T.J. Hockenson,11.1
Ray-Ray McCloud III,11.1
Malik Nabers,11
Amon-Ra St. Brown,11
David Moore,11
Juwan Johnson,11
Garrett Wilson,10.9
Noah Gray,10.9
DeAndre Hopkins,10.9
Kendrick Bourne,10.9
Xavier Worthy,10.8
Khalil Shakir,10.8
Brock Bowers,10.7
Dontayvion Wicks,10.6
Keenan Allen,10.6
Cooper Kupp,10.6
Austin Hooper,10.6
Stefon Diggs,10.6
Austin Ekeler,10.5
Sterling Shepard,10.4
Noah Fant,10.4
Ja'Tavion Sanders,10.4
Trey McBride,10.3
Brenton Strange,10.3
Dyami Brown,10.3
Mike Gesicki,10.2
Hunter Henry,10.2
Dalton Kincaid,10.2
Tommy Tremble,10.2
Cade Otton,10.2
Xavier Legette,10.1
Hollywood Brown,10.1
Cole Kmet,10.1
Pat Freiermuth,10
Jonnu Smith,10
Dalton Schultz,10
Tyler Boyd,10
Brandin Cooks,10
Jahmyr Gibbs,9.9
Zach Ertz,9.9
D.J. Moore,9.9
Jordan Akins,9.8
Christian McCaffrey,9.7
Will Dissly,9.6
Josh Jacobs,9.5
David Montgomery,9.5
DeMario Douglas,9.4
Greg Dortch,9.2
Chig Okonkwo,9.2
D'Andre Swift,9.2
Justice Hill,9.1
Elijah Moore,8.8
James Conner,8.8
Tyler Conklin,8.8
Joe Mixon,8.6
Travis Kelce,8.5
Breece Hall,8.5
Saquon Barkley,8.4
Jake Ferguson,8.4
Bucky Irving,8.3
Tyler Higbee,8.3
Alexander Mattison,8.2
Curtis Samuel,8.2
Jaylen Warren,8.2
Taysom Hill,8.1
Zack Moss,8.1
Zach Charbonnet,8.1
James Cook,8.1
Aaron Jones,8
Alvin Kamara,8
Erick All Jr.,7.9
David Njoku,7.9
Najee Harris,7.9
Evan Engram,7.8
Rachaad White,7.7
De'Von Achane,7.6
Wan'Dale Robinson,7.5
Tyrone Tracy Jr.,7.5
Tyjae Spears,7.5
Michael Mayer,7.4
Bijan Robinson,7.1
Chase Brown,6.7
Javonte Williams,6.7
Ameer Abdullah,6.5
Travis Etienne Jr.,6.5
Kenneth Walker III,6.5
Rico Dowdle,6.4
Miles Sanders,6.2
Jerome Ford,6.1
Tony Pollard,5.8
Kyren Williams,5.4
Michael Carter,5.2
Rhamondre Stevenson,5.1
J.K. Dobbins,4.8
Chuba Hubbard,4
